"date","close","volume","open","high","low"
"20180627","344.5000","8313817.0000","345.0000","350.7900","339.5000"
"20180626","342.0000","7434749.0000","336.0540","343.5500","325.7990"
"20180625","333.0100","6925089.0000","330.1200","338.4700","327.5000"
"20180622","333.6300","10253770.0000","351.5400","352.2500","332.0000"
"20180621","347.5100","7949846.0000","362.0000","366.2139","346.2700"
"20180620","362.2200","8370268.0000","358.0400","364.3800","352.0000"
"20180619","352.5500","12734840.0000","365.1600","370.0000","346.2500"
"20180618","370.8300","12025450.0000","355.4000","373.7300","354.5000"
"20180615","358.1700","10827560.0000","353.8400","364.6700","351.2500"
"20180614","357.7200","10961150.0000","347.6300","358.7500","346.6000"
"20180613","344.7800","9401467.0000","346.7060","347.2000","339.8000"
"20180612","342.7700","22256430.0000","344.7000","354.9700","338.0000"
"20180611","332.1000","13166050.0000","322.5100","334.6600","322.5000"
"20180608","317.6600","8192175.0000","319.0000","324.4800","317.1500"
"20180607","316.0900","14336110.0000","316.1500","330.0000","313.5800"
"20180606","319.5000","18742400.0000","300.5000","322.1700","297.4800"
"20180605","291.1300","5877873.0000","297.7000","297.8000","286.7400"
"20180604","296.7400","4793787.0000","294.3400","299.0000","293.5480"
"20180601","291.8200","5417984.0000","285.8600","291.9500","283.8390"
"20180531","284.7300","5912825.0000","287.2100","290.3700","282.9300"
"20180530","291.7200","7473590.0000","283.2900","295.0050","281.6000"
"20180529","283.7600","5657153.0000","278.5100","286.5000","276.1500"
"20180525","278.8500","3872621.0000","277.6250","279.6400","275.6100"
"20180524","277.8500","4170789.0000","278.4000","281.1100","274.8900"
"20180523","279.0700","5972237.0000","277.7600","279.9099","274.0000"
"20180522","275.0100","8938501.0000","287.7620","288.0000","273.4220"
"20180521","284.4900","9167844.0000","281.3300","291.4900","281.3000"
"20180518","276.8200","7243699.0000","284.6500","284.6500","274.0000"
"20180517","284.5400","4418258.0000","285.9000","289.1873","283.9700"
"20180516","286.4800","5669644.0000","283.8300","288.8100","281.5600"
"20180515","284.1800","9509753.0000","285.0100","286.9600","280.5000"
"20180514","291.9700","7265501.0000","303.3200","304.9400","291.6200"
"20180511","301.0600","4665321.0000","307.7000","308.8800","299.0800"
"20180510","305.0200","5642771.0000","307.4997","312.9900","304.1119"
"20180509","306.8500","5712255.0000","300.4100","307.0100","300.0500"
"20180508","301.9700","5927447.0000","300.7950","307.7500","299.0000"
"20180507","302.7700","8673090.0000","297.5000","305.9588","295.1700"
"20180504","294.0900","8565506.0000","283.0000","296.8600","279.5200"
"20180503","284.4500","17339090.0000","278.7900","288.0400","275.2300"
"20180502","301.1500","8346176.0000","298.5700","306.8500","297.7844"
"20180501","299.9200","4614946.0000","293.5100","300.8200","293.2200"
"20180430","293.9000","4224068.0000","293.6100","298.7300","292.5000"
